Sample,E_Pa,rho_kg_m3,omega_rad_s,sigma_uts_Pa,max_mises_Pa
1,7.155128e+10,2894.2411,1994.758138,3.996755e+08,5.873273e+08
2,7.112185e+10,2974.0535,2000.709537,4.517335e+08,6.071303e+08
3,6.957545e+10,2900.5132,2270.357479,5.143787e+08,7.624798e+08
4,7.377314e+10,2885.2535,2047.272552,3.226822e+08,6.167374e+08
5,7.215271e+10,2874.8079,2138.742328,4.740164e+08,6.706420e+08
6,7.333179e+10,2888.5336,2156.168471,4.370635e+08,6.848694e+08
7,7.358309e+10,2891.0410,2169.026619,4.924036e+08,6.936637e+08
8,7.273483e+10,2855.0966,2256.560457,4.206934e+08,7.414464e+08
9,7.080280e+10,2890.6134,2040.113176,4.621969e+08,6.135693e+08
10,7.177227e+10,2894.7368,1980.098423,3.427641e+08,5.788255e+08
11,6.904602e+10,2918.3751,2062.770038,4.077395e+08,6.332975e+08
12,7.209842e+10,2907.8211,2006.562880,3.531272e+08,5.970879e+08
13,6.943019e+10,2915.9860,1954.005085,5.020973e+08,5.678084e+08
14,7.229919e+10,2833.8893,2054.654008,4.551478e+08,6.101341e+08
15,6.993001e+10,2872.5504,2150.375869,4.632744e+08,6.774252e+08
16,6.891965e+10,2909.7081,2082.253717,4.778791e+08,6.434011e+08
17,6.920279e+10,2896.7299,2046.420717,3.645188e+08,6.186755e+08
18,6.508423e+10,2829.2888,2113.301398,4.136103e+08,6.444143e+08
19,7.249117e+10,2930.5288,2035.736258,3.554493e+08,6.193755e+08
20,7.267076e+10,2924.9700,1906.702661,3.893745e+08,5.423160e+08
21,7.121736e+10,2898.9896,2145.345816,3.905162e+08,6.804659e+08
22,6.915240e+10,2851.1294,2104.788359,4.216045e+08,6.441675e+08
23,6.852357e+10,2923.2312,2141.994703,3.957491e+08,6.840139e+08
24,6.727480e+10,2902.8727,1971.424801,3.681258e+08,5.753782e+08
25,6.929885e+10,2927.0378,2160.912955,3.818487e+08,6.970564e+08
